"subject","item","region","measure","condition","rawdata","group_G","region_G","trial","sort","skips","reading_time","ambiguity_G","continuation_G","ambiguity_continuation_G","ambiguity","continuation","group"
"Native 2",16,-0.5,"fp",1,180,"Native","disambiguation","Native 2 16","disambiguation/fp",0,180,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 2",1,-0.5,"fp",2,182,"Native","disambiguation","Native 2 1","disambiguation/fp",0,182,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 2",13,-0.5,"fp",2,0,"Native","disambiguation","Native 2 13","disambiguation/fp",1,NA,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 2",10,-0.5,"fp",3,322,"Native","disambiguation","Native 2 10","disambiguation/fp",0,322,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 2",7,-0.5,"fp",4,0,"Native","disambiguation","Native 2 7","disambiguation/fp",1,NA,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 2",24,-0.5,"fp",1,182,"Native","disambiguation","Native 2 24","disambiguation/fp",0,182,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 2",23,-0.5,"fp",4,191,"Native","disambiguation","Native 2 23","disambiguation/fp",0,191,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 2",4,-0.5,"fp",1,245,"Native","disambiguation","Native 2 4","disambiguation/fp",0,245,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 2",19,-0.5,"fp",4,341,"Native","disambiguation","Native 2 19","disambiguation/fp",0,341,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 2",22,-0.5,"fp",3,0,"Native","disambiguation","Native 2 22","disambiguation/fp",1,NA,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 2",8,-0.5,"fp",1,277,"Native","disambiguation","Native 2 8","disambiguation/fp",0,277,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 2",3,-0.5,"fp",4,177,"Native","disambiguation","Native 2 3","disambiguation/fp",0,177,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 2",17,-0.5,"fp",2,261,"Native","disambiguation","Native 2 17","disambiguation/fp",0,261,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 2",21,-0.5,"fp",2,0,"Native","disambiguation","Native 2 21","disambiguation/fp",1,NA,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 2",14,-0.5,"fp",3,0,"Native","disambiguation","Native 2 14","disambiguation/fp",1,NA,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 2",18,-0.5,"fp",3,267,"Native","disambiguation","Native 2 18","disambiguation/fp",0,267,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 2",6,-0.5,"fp",3,0,"Native","disambiguation","Native 2 6","disambiguation/fp",1,NA,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 2",11,-0.5,"fp",4,223,"Native","disambiguation","Native 2 11","disambiguation/fp",0,223,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 2",15,-0.5,"fp",4,0,"Native","disambiguation","Native 2 15","disambiguation/fp",1,NA,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 3",18,-0.5,"fp",4,303,"Native","disambiguation","Native 3 18","disambiguation/fp",0,303,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 3",4,-0.5,"fp",2,153,"Native","disambiguation","Native 3 4","disambiguation/fp",0,153,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 3",15,-0.5,"fp",1,429,"Native","disambiguation","Native 3 15","disambiguation/fp",0,429,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 3",10,-0.5,"fp",4,320,"Native","disambiguation","Native 3 10","disambiguation/fp",0,320,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 3",23,-0.5,"fp",1,343,"Native","disambiguation","Native 3 23","disambiguation/fp",0,343,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 3",17,-0.5,"fp",3,184,"Native","disambiguation","Native 3 17","disambiguation/fp",0,184,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 3",9,-0.5,"fp",3,379,"Native","disambiguation","Native 3 9","disambiguation/fp",0,379,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 3",22,-0.5,"fp",4,305,"Native","disambiguation","Native 3 22","disambiguation/fp",0,305,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 3",13,-0.5,"fp",3,457,"Native","disambiguation","Native 3 13","disambiguation/fp",0,457,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 3",1,-0.5,"fp",3,456,"Native","disambiguation","Native 3 1","disambiguation/fp",0,456,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 3",5,-0.5,"fp",3,446,"Native","disambiguation","Native 3 5","disambiguation/fp",0,446,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 3",11,-0.5,"fp",1,509,"Native","disambiguation","Native 3 11","disambiguation/fp",0,509,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 3",16,-0.5,"fp",2,362,"Native","disambiguation","Native 3 16","disambiguation/fp",0,362,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 3",6,-0.5,"fp",4,218,"Native","disambiguation","Native 3 6","disambiguation/fp",0,218,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 3",21,-0.5,"fp",3,224,"Native","disambiguation","Native 3 21","disambiguation/fp",0,224,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 3",3,-0.5,"fp",1,225,"Native","disambiguation","Native 3 3","disambiguation/fp",0,225,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 3",7,-0.5,"fp",1,641,"Native","disambiguation","Native 3 7","disambiguation/fp",0,641,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 3",14,-0.5,"fp",4,516,"Native","disambiguation","Native 3 14","disambiguation/fp",0,516,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 3",19,-0.5,"fp",1,402,"Native","disambiguation","Native 3 19","disambiguation/fp",0,402,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
