"controller","condition","item","reading_time","NA","subject","group_G","ambiguity_G","ambiguity","group"
"DashedSentence","exp1-1","3",6176,"False","Native 3","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","24",3671,"False","Native 3","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","7",6439,"False","Native 3","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","16",6298,"False","Native 3","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","4",4203,"False","Native 3","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","5",3652,"False","Native 3","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","13",4107,"False","Native 3","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","20",2657,"False","Native 3","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","1",6315,"False","Native 3","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","10",2036,"False","Native 3","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","19",3502,"False","Native 3","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","15",4390,"False","Native 3","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","17",4038,"False","Native 3","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","8",3257,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","17",3075,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","23",1909,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","24",5199,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","21",2770,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","3",3133,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","10",3942,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","4",3090,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","2",2473,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","11",2664,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","14",3002,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","6",1308,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","20",2986,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","19",2188,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","9",2267,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","16",3278,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","18",2807,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","5",1729,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","22",2137,"False","Native 4","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","1",1649,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","7",2301,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","15",3704,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","13",2362,"False","Native 4","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","12",2335,"False","Native 4","Native","Ambiguous",0.5,-0.5
